Electricity:Facility,InteriorLights:Electricity,InteriorEquipment:Electricity,Heating:Gas,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days,,,,,
399939.3966,125399.2693,192086.1621,292534.93,-2.113575269,70.30320341,156.7973417,31,,-1.011442756,-0.662830823,-0.196640032,3.321116305
372998.2468,118571.0897,177432.9884,145504.2044,1.942956349,62.61458333,188.2471892,28,,-1.32859167,-1.700634513,-2.249143047,1.248805082
427621.6325,140501.0096,203748.8923,93066.70053,5.43313172,62.39908154,197.9807721,31,,-0.685569839,1.632457632,1.436984833,0.509729442
442722.7799,126346.2431,189270.161,37219.71714,12.56460648,68.95763889,135.3763503,30,,-0.507800421,-0.518901846,-0.591083643,-0.277400799
534839.3815,135467.0962,199861.3155,10495.01057,17.91901882,74.3156362,192.3388217,31,,0.576588345,0.867361485,0.892443202,-0.654069751
569504.0299,134869.0074,196272.7832,596.4444756,22.21377315,69.30104167,225.3063657,30,,0.984657626,0.776458961,0.389789407,-0.793584193
620274.3694,126944.3318,192858.6934,8.63309668,26.66420251,66.30790771,284.5905765,31,,1.582321726,-0.427999337,-0.088429834,-0.801869047
614558.959,140501.0096,203748.8923,867.8767689,23.04596774,77.16319444,219.8065636,31,,1.515040403,1.632457632,1.436984833,-0.789758515
556699.6188,126346.2431,189270.161,5173.27062,20.35770833,84.16527778,153.3049769,30,,0.833925192,-0.518901846,-0.591083643,-0.729076532
470651.87,130433.1827,195973.7388,34001.48739,12.89782706,75.73711918,157.4538157,31,,-0.179021558,0.102265324,0.347901585,-0.322759846
423389.4042,124801.1806,188497.6298,57364.08533,9.760949074,74.10636574,128.5277006,30,,-0.735391269,-0.753733332,-0.699293826,0.006522171
412062.6982,126944.3318,192858.6934,103611.7875,5.489852151,75.55857975,140.3433766,31,,-0.868728285,-0.427999337,-0.088429834,0.658356213
402614.8436,125399.2693,192086.1621,155860.314,2.966196237,67.32896505,160.5200493,31,,-0.979947622,-0.662830823,-0.196640032,1.39476833
371759.1463,118571.0897,177432.9884,92052.94733,4.360565476,66.55753968,185.6282655,28,,-1.343178255,-1.700634513,-2.249143047,0.495441189
466413.688,140501.0096,203748.8923,46802.50109,10.55094086,66.37488799,169.6965352,31,,-0.228913075,1.632457632,1.436984833,-0.14233712
435413.6379,126346.2431,189270.161,25641.9364,12.21400463,55.72905093,245.4565201,30,,-0.593843017,-0.518901846,-0.591083643,-0.440582779
544349.0297,135467.0962,199861.3155,6748.004024,19.17009409,75.06552419,187.6199223,31,,0.688535112,0.867361485,0.892443202,-0.706881595
562955.6837,134869.0074,196272.7832,874.1594232,21.97055556,66.47974537,243.6834491,30,,0.907571053,0.776458961,0.389789407,-0.789669965
604992.7047,126944.3318,192858.6934,489.0397226,25.99072581,66.18817204,225.9435111,31,,1.402427274,-0.427999337,-0.088429834,-0.795098
620971.5667,140501.0096,203748.8923,221.6832045,23.6906362,74.69086022,216.0216174,31,,1.590529073,1.632457632,1.436984833,-0.798866232
528533.6366,126346.2431,189270.161,4815.767411,19.238125,76.30347222,218.2326389,30,,0.502357655,-0.518901846,-0.591083643,-0.734115329
481165.192,130433.1827,195973.7388,31088.86122,13.64043459,78.69209229,132.0247536,31,,-0.055259629,0.102265324,0.347901585,-0.363811592
393472.8944,124801.1806,188497.6298,96325.64957,5.098078704,71.14305556,146.7321759,30,,-1.087565867,-0.753733332,-0.699293826,0.555662403
402720.8098,126944.3318,192858.6934,124267.0659,4.969623656,78.95183692,83.43626792,31,,-0.978700197,-0.427999337,-0.088429834,0.949480161
,,,,,,,,,,,,
485859.3842,129760.3329,193490.0093,56901.33655,,,,,,,,,
84947.94896,6579.452037,7139.172802,70950.11792,,,,,,,,,
